"config_id","strategy","seed","day","raid","raid_size","survived","wood_dusk","food_dusk","stone_dusk","wood_dawn","food_dawn","stone_dawn","workers_dusk","warriors_dusk","huts_dusk","walls_dusk","towers_dusk","workers_dawn","warriors_dawn","huts_dawn","walls_dawn","towers_dawn","enemies_spawned","enemies_killed_total","campfire_hp_dusk","campfire_hp_min","campfire_hp_dawn","hunger_dawn","left_total","archers_dawn"
"base_turtle_s1","Turtle","1","1","0","0","1","335","316","303","205","335","255","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s1","Turtle","1","2","0","0","1","205","363","231","55","377","129","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s1","Turtle","1","3","0","0","1","90","400","129","115","414","129","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s1","Turtle","1","4","1","5","0","170","437","129","185","442","129","3","0","0","0","0","3","0","0","0","0","5","0","200","5","0","0","0","0"
"base_turtle_s2","Turtle","2","1","0","0","1","148","310","264","143","309","264","1","1","0","2","0","1","2","1","5","0","0","0","200","200","200","0","0","0"
"base_turtle_s2","Turtle","2","2","0","0","1","186","336","290","6","344","178","4","2","1","5","0","4","2","1","10","0","0","0","200","200","200","0","0","0"
"base_turtle_s2","Turtle","2","3","0","0","1","6","364","178","11","362","183","4","2","1","17","0","4","3","2","17","0","0","0","200","200","200","0","0","0"
"base_turtle_s2","Turtle","2","4","1","7","1","6","376","178","6","362","206","6","4","2","17","0","6","3","2","17","0","7","7","200","200","200","0","0","0"
"base_turtle_s2","Turtle","2","5","1","7","0","11","395","231","1","393","226","6","4","2","17","0","6","0","1","17","0","7","12","200","5","0","0","0","0"
"base_turtle_s3","Turtle","3","1","0","0","1","150","306","264","145","305","264","1","1","0","2","0","1","2","0","6","0","0","0","200","200","200","0","0","0"
"base_turtle_s3","Turtle","3","2","0","0","1","145","333","264","20","347","189","1","2","0","6","0","1","2","0","6","0","0","0","200","200","200","0","0","0"
