"config_id","strategy","seed","outcome","day_reached","days_to_survive","raids","enemies_killed","peak_workers","peak_warriors","final_wood","final_food","final_stone","colonists_left","game_seconds","wall_seconds","frames","note"
"base_turtle_s1","Turtle","1","defeat","4","30","1","0","3","0","185","442","129","0","578.3","19.83","34698",""
"base_turtle_s2","Turtle","2","defeat","5","30","2","12","6","4","1","393","226","0","750.1","26.54","45006",""
"base_turtle_s3","Turtle","3","defeat","5","30","1","3","1","2","5","443","189","0","773.283","19.66","46397",""
"base_turtle_s4","Turtle","4","defeat","5","30","1","5","8","4","10","420","243","0","739.417","31.99","44365",""
"base_turtle_s5","Turtle","5","defeat","4","30","1","3","4","3","4","398","172","0","688.283","22.965","41297",""
"base_turtle_s6","Turtle","6","defeat","3","30","1","1","1","2","0","379","179","0","453.167","13.383","27190",""
"base_rush_s1","Rush","1","defeat","4","30","1","0","3","0","620","442","303","0","578","16.215","34680",""
"base_rush_s2","Rush","2","defeat","3","30","1","2","1","2","240","380","303","0","433.35","9.796","26001",""
"base_rush_s3","Rush","3","defeat","6","30","1","1","1","2","250","486","300","0","879.017","19.856","52741",""
"base_rush_s4","Rush","4","defeat","6","30","1","0","1","2","243","490","300","0","877.417","19.754","52645",""
"base_rush_s5","Rush","5","defeat","5","30","1","1","1","2","245","459","305","0","728.717","20.12","43723",""
"base_rush_s6","Rush","6","defeat","6","30","2","8","0","3","235","222","305","0","885.884","20.528","53153",""
"base_eco_s1","Eco","1","defeat","6","30","1","0","3","0","450","511","98","0","886.55","28.657","53193",""
"base_eco_s2","Eco","2","defeat","5","30","1","1","1","2","5","454","208","0","730.4","17.835","43824",""
"base_eco_s3","Eco","3","defeat","4","30","1","1","1","2","10","412","205","0","580.5","14.523","34830",""
"base_eco_s4","Eco","4","defeat","5","30","1","1","1","2","8","443","205","0","729.867","20.082","43792",""
"base_eco_s5","Eco","5","defeat","6","30","1","1","1","2","15","491","210","0","880.65","24.049","52839",""
"base_eco_s6","Eco","6","timeout","29","30","8","146","10","17","4601","1176","1198","0","6000.017","414.841","360001","exceeded 6000s game time"
