"config_id","strategy","seed","day","raid","raid_size","survived","wood_dusk","food_dusk","stone_dusk","wood_dawn","food_dawn","stone_dawn","workers_dusk","warriors_dusk","huts_dusk","walls_dusk","towers_dusk","workers_dawn","warriors_dawn","huts_dawn","walls_dawn","towers_dawn","enemies_spawned","enemies_killed_total","campfire_hp_dusk","campfire_hp_min","campfire_hp_dawn","hunger_dawn","left_total","archers_dawn"
"base_turtle_s1","Turtle","1","1","0","0","1","340","305","305","195","304","245","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s1","Turtle","1","2","0","0","1","200","302","209","190","301","182","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s1","Turtle","1","3","0","0","1","200","299","154","245","298","154","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s1","Turtle","1","4","0","0","1","325","296","154","370","295","154","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s1","Turtle","1","5","1","6","0","445","293","154","475","293","154","3","0","0","0","0","0","0","0","0","0","6","0","200","5","0","0","0","0"
"base_turtle_s2","Turtle","2","1","0","0","1","335","310","305","200","324","257","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s2","Turtle","2","2","0","0","1","180","347","221","130","356","164","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s2","Turtle","2","3","0","0","1","185","379","149","170","388","122","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s2","Turtle","2","4","1","5","0","200","406","110","185","411","98","3","0","0","0","0","0","0","0","0","0","5","0","200","5","0","0","0","0"
"base_turtle_s3","Turtle","3","1","0","0","1","350","305","300","205","304","240","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s3","Turtle","3","2","0","0","1","190","302","192","110","301","120","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s3","Turtle","3","3","0","0","1","160","299","120","185","298","120","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s3","Turtle","3","4","0","0","1","205","296","120","200","295","104","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s3","Turtle","3","5","1","5","0","260","293","104","280","293","104","3","0","0","0","0","0","0","0","0","0","5","0","200","5","0","0","0","0"
"base_turtle_s4","Turtle","4","1","0","0","1","343","310","300","208","329","252","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s4","Turtle","4","2","0","0","1","203","352","216","98","366","129","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s4","Turtle","4","3","0","0","1","168","394","129","193","398","129","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s4","Turtle","4","4","1","5","0","188","401","105","203","401","105","3","0","0","0","0","0","0","0","0","0","5","0","200","5","0","0","0","0"
"base_turtle_s5","Turtle","5","1","0","0","1","350","305","300","204","304","240","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s5","Turtle","5","2","0","0","1","214","302","204","159","301","147","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s5","Turtle","5","3","0","0","1","204","299","135","199","298","123","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s5","Turtle","5","4","0","0","1","229","296","119","259","295","119","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s5","Turtle","5","5","0","0","1","299","293","119","329","292","119","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s5","Turtle","5","6","1","6","0","369","290","119","379","290","119","3","0","0","0","0","0","0","0","0","0","6","0","200","5","0","0","0","0"
"base_turtle_s6","Turtle","6","1","0","0","1","335","311","300","190","310","240","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s6","Turtle","6","2","0","0","1","195","308","204","155","307","147","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s6","Turtle","6","3","0","0","1","195","305","135","195","304","123","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_turtle_s6","Turtle","6","4","1","5","0","265","302","119","270","302","119","3","0","0","0","0","0","0","0","0","0","5","0","200","5","0","0","0","0"
"base_rush_s1","Rush","1","1","0","0","1","335","305","305","355","304","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s1","Rush","1","2","0","0","1","470","302","305","545","301","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s1","Rush","1","3","0","0","1","670","299","305","730","298","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s1","Rush","1","4","1","6","0","820","296","305","850","296","305","3","0","0","0","0","0","0","0","0","0","6","0","200","5","0","0","0","0"
"base_rush_s2","Rush","2","1","0","0","1","310","310","305","320","329","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s2","Rush","2","2","0","0","1","410","352","305","465","366","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s2","Rush","2","3","0","0","1","545","384","305","595","398","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s2","Rush","2","4","0","0","1","670","421","305","720","430","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s2","Rush","2","5","1","6","0","780","453","305","800","458","305","3","0","0","0","0","0","0","0","0","0","6","0","200","5","0","0","0","0"
"base_rush_s3","Rush","3","1","0","0","1","348","311","305","362","310","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s3","Rush","3","2","0","0","1","472","308","305","537","307","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s3","Rush","3","3","0","0","1","627","305","305","687","304","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s3","Rush","3","4","0","0","1","787","302","305","842","301","305","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s3","Rush","3","5","1","6","0","927","299","305","957","299","305","3","0","0","0","0","0","0","0","0","0","6","0","200","5","0","0","0","0"
"base_rush_s4","Rush","4","1","0","0","1","338","310","300","343","329","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s4","Rush","4","2","0","0","1","438","357","300","478","371","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s4","Rush","4","3","1","5","0","548","399","300","558","403","300","3","0","0","0","0","0","0","0","0","0","5","0","200","5","0","0","0","0"
"base_rush_s5","Rush","5","1","0","0","1","343","311","300","373","310","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s5","Rush","5","2","0","0","1","503","308","300","558","307","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s5","Rush","5","3","0","0","1","648","305","300","702","304","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s5","Rush","5","4","0","0","1","782","302","300","827","301","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s5","Rush","5","5","1","6","0","936","299","300","961","299","300","3","0","0","0","0","0","0","0","0","0","6","0","200","5","0","0","0","0"
"base_rush_s6","Rush","6","1","0","0","1","335","311","300","395","310","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s6","Rush","6","2","0","0","1","455","308","300","535","307","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s6","Rush","6","3","0","0","1","630","305","300","705","304","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
"base_rush_s6","Rush","6","4","0","0","1","795","302","300","860","301","300","3","0","0","0","0","3","0","0","0","0","0","0","200","200","200","0","0","0"
