"config_id","strategy","seed","outcome","day_reached","days_to_survive","raids","enemies_killed","peak_workers","peak_warriors","final_wood","final_food","final_stone","colonists_left","game_seconds","wall_seconds","frames","note"
"base_turtle_s1","Turtle","1","defeat","5","30","1","0","3","0","475","293","154","0","733.017","28.442","43981",""
"base_turtle_s2","Turtle","2","defeat","4","30","1","0","3","0","185","411","98","0","579","18.019","34740",""
"base_turtle_s3","Turtle","3","defeat","5","30","1","0","3","0","280","293","104","0","726.983","24.362","43619",""
"base_turtle_s4","Turtle","4","defeat","4","30","1","0","3","0","203","401","105","0","576.717","18.059","34603",""
"base_turtle_s5","Turtle","5","defeat","6","30","1","0","3","0","379","290","119","0","883.367","27.503","53002",""
"base_turtle_s6","Turtle","6","defeat","4","30","1","0","3","0","270","302","119","0","578.75","14.795","34725",""
"base_rush_s1","Rush","1","defeat","4","30","1","0","3","0","850","296","305","0","574.617","16.924","34477",""
"base_rush_s2","Rush","2","defeat","5","30","1","0","3","0","800","458","305","0","727.133","17.926","43628",""
"base_rush_s3","Rush","3","defeat","5","30","1","0","3","0","957","299","305","0","725.2","18.671","43512",""
"base_rush_s4","Rush","4","defeat","3","30","1","0","3","0","558","403","300","0","424.983","10.931","25499",""
"base_rush_s5","Rush","5","defeat","5","30","1","0","3","0","961","299","300","0","735.783","18.553","44147",""
"base_rush_s6","Rush","6","defeat","6","30","1","0","3","0","1130","296","300","0","874.917","21.508","52495",""
"base_eco_s1","Eco","1","defeat","4","30","1","0","3","0","375","296","85","0","574.633","19.084","34478",""
"base_eco_s2","Eco","2","defeat","6","30","1","0","3","0","485","480","85","0","876.083","24.366","52565",""
"base_eco_s3","Eco","3","defeat","3","30","1","0","3","0","188","305","80","0","430.567","12.333","25834",""
"base_eco_s4","Eco","4","defeat","3","30","1","0","3","0","163","394","95","0","428.65","11.975","25719",""
"base_eco_s5","Eco","5","defeat","6","30","1","0","3","0","584","290","95","0","874.267","24.51","52456",""
"base_eco_s6","Eco","6","defeat","4","30","1","0","3","0","475","296","95","0","583.117","15.817","34987",""
